serial_number,station_number,tag_created_at,tag_name,tag_value
50362,A8,2023-11-27 15:14:48,AOI02,100
50362,A8,2023-11-27 15:14:38,AOI02,99
50362,A8,2023-11-27 15:14:28,AOI02,98
50362,A8,2023-11-27 15:14:28,AOI02,72
50362,A8,2023-11-27 15:14:18,AOI02,61.224494
50362,A8,2023-11-27 15:14:18,AOI02,50
50362,A8,2023-11-27 15:14:08,AOI02,100
50362,A8,2023-11-27 15:14:08,AOI02,20
50362,A8,2023-11-27 15:14:48,TI001,22.78000069
50362,A8,2023-11-27 15:14:28,TI001,23.78000069
50362,A8,2023-11-27 15:14:28,TI001,25.78000069
50362,A8,2023-11-27 15:14:18,TI001,29.78000069
50362,A8,2023-11-27 15:14:08,TI001,24.78000069
50362,A8,2023-11-27 15:14:48,E013,22.27000046
50362,A8,2023-11-27 15:14:38,E013,22.27000046
50362,A8,2023-11-27 15:14:28,E013,22.27000046
50362,A8,2023-11-27 15:14:28,E013,22.27000046
50362,A8,2023-11-27 15:14:18,E013,22.27000046
50362,A8,2023-11-27 15:14:18,E013,22.27000046
50362,A8,2023-11-27 15:14:08,E013,22.27000046
50362,A8,2023-11-27 15:14:08,E013,22.27000046
50362,A8,2023-11-27 15:13:58,E013,22.27000046
50362,A8,2023-11-27 15:13:58,E013,22.27000046
50362,A8,2023-11-27 15:13:48,E013,22.27000046
50362,A8,2023-11-27 15:13:48,E013,22.27000046
50362,A8,2023-11-27 15:13:38,E013,22.27000046
50362,A8,2023-11-27 15:13:38,E013,22.27000046
50362,A8,2023-11-27 15:13:28,E013,22.27000046
50362,A8,2023-11-27 15:13:18,E013,22.27000046
50362,A7,2023-11-27 15:13:48,TMP12,79
50362,A7,2023-11-27 15:13:38,TMP12,79.19999695
50362,A7,2023-11-27 15:13:28,TMP12,79.40000153
50362,A7,2023-11-27 15:13:28,TMP12,79.40000153
50362,A7,2023-11-27 15:13:18,TMP12,80.09999847
50362,A7,2023-11-27 15:13:18,TMP12,80.09999847
50362,A7,2023-11-27 15:13:08,TMP12,80
50362,A7,2023-11-27 15:13:08,TMP12,80
50362,A7,2023-11-27 15:12:58,TMP12,80
50362,A7,2023-11-27 15:12:58,TMP12,80
50362,A7,2023-11-27 15:12:48,TMP12,80
50362,A7,2023-11-27 15:12:48,TMP12,80
50362,A7,2023-11-27 15:12:38,TMP12,79.90000153
50362,A7,2023-11-27 15:12:38,TMP12,79.90000153
50362,A7,2023-11-27 15:12:28,TMP12,79.80000305
50362,A7,2023-11-27 15:12:28,TMP12,79.80000305
50362,A7,2023-11-27 15:12:18,TMP12,80.19999695
50362,A7,2023-11-27 15:12:18,TMP12,80.19999695
50362,A7,2023-11-27 15:12:08,TMP12,80.40000153
50362,A7,2023-11-27 15:12:08,TMP12,80.40000153
50362,A7,2023-11-27 15:11:58,TMP12,79.80000305
50362,A7,2023-11-27 15:11:58,TMP12,79.80000305
50362,A7,2023-11-27 15:11:48,TMP12,79.30000305
50362,A7,2023-11-27 15:11:48,TMP12,79.30000305
50362,A7,2023-11-27 15:11:38,TMP12,79.30000305
50362,A7,2023-11-27 15:11:38,TMP12,79.30000305
50362,A7,2023-11-27 15:11:28,TMP12,79.59999847
50362,A7,2023-11-27 15:11:28,TMP12,79.59999847
